,title,genre,director,released_year,studio,rotten_score,audience_score
889,Robot & Frank,"Comedy,Drama,Science Fiction & Fantasy",Jake Schreier,2012,Samuel Goldwyn Films,86,75
890,Seven Psychopaths,Comedy,Martin McDonagh,2012,CBS Films,82,71
891,Bully,"Documentary,Special Interest",Lee Hirsch,2012,The Weinstein Co.,85,78
892,Neil Young Journeys,Documentary,Jonathan Demme,2012,Sony Pictures Classics,88,59
893,Polisse,"Art House & International,Drama",Maïwenn,2012,IFC Films,87,78
894,Tabu,"Drama,Special Interest",Indra Tirtana,2012,Adopt Films,88,77
895,The Turin Horse,"Art House & International,Drama","Bela Tarr,Ágnes Hranitzky",2012,Cinema Guild,88,76
896,Middle of Nowhere,Drama,Ava DuVernay,2012,AFFRM,88,64
897,Boy,"Comedy,Drama",Taika Waititi,2012,Unison Films,87,86
898,Chico & Rita,"Animation,Drama","Tono Errando,Javier Mariscal,Fernando Trueba",2012,GKIDS,87,77
899,Miss Bala,"Action & Adventure,Drama",Gerardo Naranjo,2012,Fox International,87,63
900,Starlet,"Comedy,Drama",Sean Baker (II),2012,Music Box Films,88,68
901,Rundskop (Bullhead),"Art House & International,Drama","Michaël R. Roskam,Michael A. Roskam",2012,Drafthouse Films,86,80
902,The Impossible,"Action & Adventure,Drama",J.A. Bayona,2012,Lionsgate Films,81,84
903,Brave,"Animation,Comedy,Kids & Family","Brenda Chapman,Mark Andrews",2012,Walt Disney Pictures,79,76
904,Your Sister's Sister,"Comedy,Drama",Lynn Shelton,2012,IFC Films,83,66
905,De rouille et d'os (Rust and Bone),"Drama,Mystery & Suspense",Jacques Audiard,2012,Sony Pictures Classics,82,80
906,Sleepwalk With Me,"Comedy,Drama","Mike Birbiglia,Seth Barrish",2012,IFC Films,84,71
907,Magic Mike,"Comedy,Drama",Steven Soderbergh,2012,Warner Bros. Pictures,80,60
908,The Big Picture,"Art House & International,Documentary,Drama,Special Interest",Eric Lartigau,2012,MPI Entertainment,86,63
909,Snabba cash (Easy Money),"Action & Adventure,Art House & International,Drama,Mystery & Suspense",Daniel Espinosa,2012,The Weinstein Company,85,63
910,Declaration of War,"Art House & International,Comedy,Drama,Special Interest",Valérie Donzelli,2012,IFC Films,86,70
911,Haywire,"Action & Adventure,Drama,Mystery & Suspense",Steven Soderbergh,2012,Relativity Media,80,41
912,Flight,"Drama,Mystery & Suspense",Robert Zemeckis,2012,Paramount Pictures,78,75
913,The Grey,"Action & Adventure,Drama",Joe Carnahan,2012,Open Road Films,79,61
914,Smashed,"Comedy,Drama",James Ponsoldt,2012,Sony Pictures Classics,83,68
915,Harry Potter and the Deathly Hallows - Part 2,"Action & Adventure,Drama,Kids & Family,Mystery & Suspense,Science Fiction & Fantasy",David Yates (II),2011,Warner Bros. Pictures,96,89
916,The Artist,"Comedy,Drama,Romance",Michel Hazanavicius,2011,The Weinstein Company,95,87
917,A Separation,"Art House & International,Drama",Asghar Farhadi,2011,Sony Pictures Classics,99,92
918,Moneyball,Drama,Bennett Miller,2011,Sony Pictures,94,86
919,The Muppets,"Comedy,Kids & Family",James Bobin,2011,Walt Disney Pictures,95,80
920,Poetry,"Art House & International,Drama",Chang-dong Lee,2011,Kino International,100,86
921,Le Havre,"Comedy,Drama",Aki Kaurismäki,2011,Janus Films,99,75
922,The Interrupters,"Documentary,Special Interest",Steve James (II),2011,Cinema Guild,99,82
923,Project Nim,"Art House & International,Documentary",James Marsh,2011,Roadside Attractions,97,84
924,Nostalgia for the Light,"Art House & International,Documentary,Drama",Patricio Guzmán,2011,Icarus Films,100,84
925,Everyday Sunshine: The Story of Fishbone,"Documentary,Musical & Performing Arts","Chris Metzler,Lev Anderson",2011,Pale Griot Films,100,85
926,We Were Here,Documentary,"David Weissman,Bill Weber",2011,Independent Films,100,87
927,Bill Cunningham New York,"Documentary,Musical & Performing Arts",Richard Press,2011,Zeitgeist Films,99,92
928,Mission: Impossible Ghost Protocol,"Action & Adventure,Mystery & Suspense",Brad Bird,2011,Paramount Studios,93,76
929,Drive,"Action & Adventure,Drama,Mystery & Suspense",Nicolas Winding Refn,2011,FilmDistrict,92,79
930,Source Code,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",Duncan Jones,2011,Summit Entertainment,92,82
931,Hugo,"Kids & Family,Mystery & Suspense",Martin Scorsese,2011,Paramount Studios,93,78
932,Cave of Forgotten Dreams,"Documentary,Special Interest",Werner Herzog,2011,IFC Films,96,73
933,Midnight in Paris,"Comedy,Romance",Woody Allen,2011,Sony Pictures Classics,93,83
934,Win Win,"Comedy,Drama",Tom McCarthy,2011,Fox Searchlight Pictures,94,85
935,Bridesmaids,Comedy,Paul Feig,2011,Universal Studios,90,76
936,50/50,"Comedy,Drama",Jonathan Levine,2011,Summit Entertainment,93,88
937,Born To Be Wild,Documentary,David Lickley,2011,Warner Bros./IMAX,98,84
938,13 Assassins,"Action & Adventure,Art House & International",Takashi Miike,2011,Magnet Releasing,95,88
939,Tomboy,"Art House & International,Drama",Céline Sciamma,2011,Dada Films,97,82
940,Pariah,Drama,Dee Rees,2011,Focus Features,95,82
941,The Guard,"Comedy,Mystery & Suspense",John Michael McDonagh,2011,Sony Pictures Classics,94,81
942,Pina,"Documentary,Musical & Performing Arts",Wim Wenders,2011,IFC Films,95,81
943,The Descendants,"Comedy,Drama",Alexander Payne,2011,Fox Searchlight Pictures,89,79
944,Weekend,"Action & Adventure,Drama",Andrew Haigh,2011,IFC Films,95,86
945,Arthur Christmas,"Animation,Comedy,Kids & Family","Sarah Smith,Barry Cook",2011,Sony Pictures,92,76
946,Being Elmo: A Puppeteer's Journey,"Documentary,Television","Constance Marks,Philip Shane",2011,Submarine Deluxe,95,87
947,The Arbor,"Art House & International,Documentary,Drama,Special Interest",Clio Barnard,2011,Strand Releasing,96,75
948,Silent Souls,"Art House & International,Drama",Aleksei Fedorchenko,2011,Shadow Distribution,96,75
949,Take Shelter,"Drama,Mystery & Suspense",Jeff Nichols,2011,Sony Pictures Classics,92,81
950,Incendies,Drama,Denis Villeneuve,2011,Sony Pictures Classics,93,92
951,Coriolanus,"Drama,Mystery & Suspense",Ralph Fiennes,2011,The Weinstein Company,92,58
952,Martha Marcy May Marlene,"Drama,Mystery & Suspense",Sean Durkin,2011,Fox Searchlight,90,71
953,Senna,"Documentary,Sports & Fitness",Asif Kapadia,2011,Independent Pictures,92,95
954,Tabloid,"Documentary,Special Interest",Errol Morris,2011,IFC Films,92,72
955,Attack the Block,"Action & Adventure,Art House & International",Joe Cornish,2011,Screen Gems,90,75
956,Of Gods and Men,"Art House & International,Drama",Xavier Beauvois,2011,Sony Pictures Classics,92,75
957,X-Men: First Class,"Action & Adventure,Drama,Science Fiction & Fantasy",Matthew Vaughn,2011,20th Century Fox,86,87
958,Into The Abyss,"Documentary,Special Interest",Werner Herzog,2011,IFC Films,92,76
959,King of Devil's Island,"Action & Adventure,Art House & International,Drama",Marius Holst,2011,Film Movement,94,88
960,Rango,"Action & Adventure,Animation,Kids & Family",Gore Verbinski,2011,Paramount Pictures,88,69
961,Winnie the Pooh,"Animation,Kids & Family","Stephen J. Anderson,Don Hall",2011,Walt Disney Pictures,91,80
962,Elite Squad: The Enemy Within,"Action & Adventure,Art House & International,Drama",José Padilha,2011,Variance Films,93,91
963,Knuckle,"Art House & International,Documentary,Drama",Ian Palmer,2011,Vitagraph Films,93,67
964,The Tree of Life,"Action & Adventure,Drama,Science Fiction & Fantasy",Terrence Malick,2011,Fox Searchlight,85,60
965,The Girl with the Dragon Tattoo,"Drama,Mystery & Suspense",David Fincher,2011,Sony Pictures,86,86
966,The Four Times (Le Quattro Volte),"Art House & International,Drama,Special Interest",Michelangelo Frammartino,2011,Lorber Films,92,75
967,City of Life and Death,"Art House & International,Drama",Chuan Lu,2011,Cinema Ventures,92,86
968,The Black Power Mixtape 1967-1975,Documentary,"Goran Olsson,Göran Hugo Olsson,Göran Olsson",2011,IFC Films,92,86
969,Corman's World: Exploits Of A Hollywood Rebel,"Documentary,Television",Alex Stapleton,2011,Anchor Bay Films,92,84
970,Point Blank,"Action & Adventure,Art House & International,Mystery & Suspense",Fred Cavayé,2011,Magnolia Pictures,91,77
971,Certified Copy (Copie Conforme),"Art House & International,Drama",Abbas Kiarostami,2011,Artificial Eye Film Co. Ltd,89,70
972,Submarine,"Comedy,Drama",Richard Ayoade,2011,The Weinstein Company,88,82
973,Contagion,"Action & Adventure,Mystery & Suspense",Steven Soderbergh,2011,Warner Bros.,84,63
974,Margin Call,Mystery & Suspense,J.C. Chandor,2011,Roadside Attractions,87,74
975,The Trip,"Art House & International,Comedy",Michael Winterbottom,2011,IFC Films,89,70
976,Buck,"Documentary,Special Interest",Cindy Meehl,2011,IFC Films,89,89
977,Uncle Boonmee Who Can Recall His Past Lives,"Art House & International,Comedy,Science Fiction & Fantasy,Special Interest",Apichatpong Weerasethakul,2011,Strand Releasing,89,60
978,The Ides of March,"Drama,Mystery & Suspense",George Clooney,2011,Sony Pictures,84,73
979,Beats Rhymes & Life: The Travels of a Tribe Called Quest,"Documentary,Musical & Performing Arts",Michael Rapaport,2011,Sony Pictures Classics,90,90
980,Armadillo,"Documentary,Special Interest",Janus Metz,2011,New Yorker,90,81
981,Cedar Rapids,Comedy,Miguel Arteta,2011,Fox Searchlight Pictures,86,59
982,Rise of the Planet of the Apes,"Action & Adventure,Drama,Science Fiction & Fantasy",Rupert Wyatt,2011,20th Century Fox,82,77
983,Super 8,"Action & Adventure,Science Fiction & Fantasy",J.J. Abrams,2011,Paramount Pictures,81,75
984,Tinker Tailor Soldier Spy,"Drama,Mystery & Suspense",Tomas Alfredson,2011,Focus Features,83,65
985,Beginners,"Comedy,Drama",Mike Mills,2011,Focus Features,85,77
986,Meek's Cutoff,"Drama,Western",Kelly Reichardt,2011,Oscilloscope Pictures,86,53
987,Puss in Boots,"Action & Adventure,Animation,Comedy,Kids & Family,Science Fiction & Fantasy",Chris Miller,2011,Paramount/Dreamworks,85,67
988,The Lincoln Lawyer,"Drama,Mystery & Suspense",Brad Furman,2011,Lionsgate Films,84,82
989,Bobby Fischer Against The World,"Documentary,Drama,Special Interest",Liz Garbus,2011,Music Box Films,88,86
990,Jane Eyre,"Drama,Romance",Cary Joji Fukunaga,2011,Focus Features,84,76
991,Warrior,"Action & Adventure,Drama",Gavin O'Connor,2011,Lionsgate,83,92
992,The Hedgehog,"Art House & International,Comedy,Drama",Mona Achache,2011,NeoClassics Films,87,83
993,A Screaming Man,"Art House & International,Drama",Mahamat-Saleh Haroun,2011,Film Movement,88,61
994,Terri,Comedy,Azazel Jacobs,2011,IDP/ATO,86,60
995,Captain America: The First Avenger,"Action & Adventure,Mystery & Suspense",Joe Johnston,2011,Paramount Pictures,80,74
996,My Week with Marilyn,Drama,Simon Curtis,2011,The Weinstein Company,83,71
997,Even the Rain (Meme La Pluie),"Art House & International,Drama",Iciar Bollain,2011,Vitagraph Films,87,85
998,A Better Life,Drama,Chris Weitz,2011,Summit Entertainment,85,79
999,Circumstance,"Art House & International,Drama,Romance",Maryam Keshavarz,2011,Roadside Attractions,86,67
1000,Carancho,"Drama,Mystery & Suspense,Romance",Pablo Trapero,2011,Strand Releasing,87,73
1001,Viva Riva!,"Art House & International,Drama",Djo Munga,2011,Music Box Films,86,52
1002,Tucker and Dale vs. Evil,"Comedy,Horror",Eli Craig,2011,Magnet Releasing,84,84
1003,La princesse de Montpensier (The Princess of Montpensier),"Action & Adventure,Art House & International,Drama",Bertrand Tavernier,2011,IFC,85,54
1004,La tête en friche (My Afternoons with Margueritte),"Art House & International,Comedy,Drama",Jean Becker,2011,Cohen Media Group,85,79
1005,Kung Fu Panda 2,"Action & Adventure,Animation,Comedy,Kids & Family",Jennifer Yuh Nelson,2011,Paramount Studios/Dreamworks,81,74
1006,Potiche,"Art House & International,Comedy",François Ozon,2011,Music Box Films,83,61
1007,Mysteries of Lisbon,"Art House & International,Classics,Drama,Mystery & Suspense",Raoul Ruiz,2011,Music Box Films,85,71
1008,Thor,"Action & Adventure,Drama,Science Fiction & Fantasy",Kenneth Branagh,2011,Paramount Pictures,77,76
1009,Young Adult,"Comedy,Drama",Jason Reitman,2011,Paramount Studios,80,49
1010,"Happy, Happy","Art House & International,Comedy,Special Interest",Anne Sewitsky,2011,Magnolia Pictures,85,59
1011,Shame,Drama,Steve McQueen (III),2011,Fox Searchlight,79,75
1012,The Way,"Action & Adventure,Comedy,Drama",Emilio Estevez,2011,Icon Entertainment,83,82
1013,The Skin I Live In,"Art House & International,Drama,Mystery & Suspense",Pedro Almodóvar,2011,Sony Pictures Classics,80,84
1014,Tyrannosaur,"Art House & International,Drama",Paddy Considine,2011,Strand Releasing,83,85
1015,Toy Story 3,"Animation,Comedy,Kids & Family",Lee Unkrich,2010,Walt Disney Pictures,98,89
1016,How to Train Your Dragon,"Animation,Kids & Family,Science Fiction & Fantasy","Dean DeBlois,Chris Sanders",2010,Paramount/DWA,99,91
1017,The Social Network,Drama,David Fincher,2010,Columbia Pictures,95,86
1018,True Grit,"Action & Adventure,Drama,Western","Joel Coen,Ethan Coen",2010,Paramount Pictures,96,85
1019,The King's Speech,Drama,Tom Hooper,2010,The Weinstein Company,95,92
1020,Inside Job,"Documentary,Special Interest",Charles Ferguson (III),2010,Sony Pictures Classics,98,91
1021,Waste Land,"Art House & International,Documentary,Musical & Performing Arts","Lucy Walker,João Jardim,Karen Harley",2010,Arthouse Films,100,90
1022,A Prophet (Un prophete),"Art House & International,Drama",Jacques Audiard,2010,Sony Pictures Classics,97,89
1023,Last Train Home,"Art House & International,Documentary,Special Interest",Lixin Fan,2010,Zeitgeist Films,100,87
1024,127 Hours,Drama,Danny Boyle,2010,Fox Searchlight,93,85
1025,The Kids Are All Right,"Comedy,Drama",Lisa Cholodenko,2010,Focus Features,93,74
1026,Animal Kingdom,"Art House & International,Drama",David Michôd,2010,Sony Pictures Classics,95,83
1027,Marwencol,"Documentary,Science Fiction & Fantasy",Jeff Malmberg,2010,The Cinema Guild,98,87
1028,Restrepo,"Documentary,Special Interest","Sebastian Junger,Tim Hetherington",2010,National Geographic,96,88
1029,Mother (Madeo),"Art House & International,Drama,Mystery & Suspense",Bong Joon Ho,2010,Magnolia Pictures,96,88
1030,Winter's Bone,Drama,Debra Granik,2010,Roadside Attractions,94,76
1031,The Town,"Action & Adventure,Drama,Mystery & Suspense,Romance",Ben Affleck,2010,Warner Bros. Pictures,92,85
1032,Ajami,"Art House & International,Drama","Scandar Copti,Yaron Shani",2010,Kino International,97,81
1033,The Fighter,"Drama,Sports & Fitness",David O. Russell,2010,Paramount Pictures,91,89
1034,A Film Unfinished,"Art House & International,Documentary,Special Interest,Television",Yael Hersonski,2010,Oscilloscope Pictures,97,86
1035,Inception,"Action & Adventure,Drama,Mystery & Suspense,Science Fiction & Fantasy",Christopher Nolan,2010,Warner Bros. Pictures,87,91
1036,Exit Through The Gift Shop,"Comedy,Documentary,Musical & Performing Arts,Special Interest",Banksy,2010,Abarorama,95,91
1037,Another Year,"Comedy,Drama",Mike Leigh,2010,Sony Classics,92,74
1038,Best Worst Movie,"Comedy,Documentary,Television",Michael Stephenson,2010,Area23A,95,84
1039,No One Knows About Persian Cats (Les Chats Persans),"Art House & International,Comedy,Drama",Bahman Ghobadi,2010,IFC Films,95,76
1040,Tangled,"Animation,Comedy,Kids & Family,Musical & Performing Arts","Nathan Greno,Byron Howard",2010,Walt Disney Pictures,89,87
1041,Boxing Gym,"Documentary,Special Interest,Sports & Fitness",Frederick Wiseman,2010,Zipporah Films,95,75
1042,The Tillman Story,"Documentary,Special Interest",Amir Bar-Lev,2010,The Weinstein Company,93,91
1043,Fish Tank,"Art House & International,Drama",Andrea Arnold,2010,IFC,91,79
1044,Let Me In,"Drama,Horror,Science Fiction & Fantasy,Romance",Matt Reeves,2010,Overture Films,88,76
1045,Samson and Delilah,"Art House & International,Comedy,Drama,Romance",Warwick Thornton,2010,Indiepix,94,76
1046,The Secret in Their Eyes (El Secreto de Sus Ojos),"Art House & International,Drama,Mystery & Suspense,Romance",Juan José Campanella,2010,Sony Pictures Classics,91,93
1047,Joan Rivers: A Piece Of Work,"Comedy,Documentary,Television","Ricki Stern,Anne Sundberg",2010,IFC Films,92,82
1048,The Illusionist (L'illusionniste),"Animation,Art House & International,Comedy,Drama",Sylvain Chomet,2010,Sony Pictures Classics,91,79
1049,Carlos,"Art House & International,Classics,Drama,Television",Olivier Assayas,2010,IFC Films,93,85
1050,Vincere,"Art House & International,Drama",Marco Bellocchio,2010,IFC Films,92,68
1051,Black Swan,"Drama,Mystery & Suspense",Darren Aronofsky,2010,Fox Searchlight,85,84
1052,Lourdes,"Art House & International,Drama",Jessica Hausner,2010,Palisades Tartan,93,68
1053,Dogtooth (Kynodontas),"Art House & International,Drama",Yorgos Lanthimos,2010,Kino International,92,76
1054,Waiting for Superman,"Documentary,Special Interest",Davis Guggenheim,2010,Paramount Vantage,90,84
1055,Blue Valentine,"Drama,Romance","Andrij Parekh,Derek Cianfrance",2010,Weinstein Company,87,77
1056,The Secret of Kells,"Animation,Art House & International,Kids & Family,Science Fiction & Fantasy","Tomm Moore,Nora Twomey",2010,GKIDS,91,85
1057,Lebanon (Levanon),"Art House & International,Drama",Samuel Maoz,2010,Sony Classic Pictures,90,72
1058,Client 9: The Rise and Fall of Eliot Spitzer,"Documentary,Special Interest",Alex Gibney,2010,Magnolia Pictures,91,83
1059,Rabbit Hole,Drama,John Cameron Mitchell,2010,Lionsgate Films,86,72
1060,Alamar (To the Sea),"Art House & International,Drama",Pedro González-Rubio,2010,Film Movement,91,84
1061,Rare Exports: A Christmas Tale,"Action & Adventure,Art House & International,Comedy,Drama,Mystery & Suspense,Science Fiction & Fantasy",Jalmari Helander,2010,Oscilloscope Pictures,89,71
1062,Cropsey,Documentary,"Josh Zeman,Barbara Brancaccio,Joshua Zeman",2010,Cinema Purgatorio,91,61
1063,Unstoppable,"Action & Adventure,Drama,Mystery & Suspense",Tony Scott,2010,20th Century Fox,86,72
