,title,genre,director,released_year,studio,rotten_score,audience_score
1246,The Visitor,Drama,Tom McCarthy,2008,Overture Films,89,84
1247,Frozen River,Drama,Courtney Hunt,2008,Sony Pictures Classics,88,74
1248,I've Loved You So Long,"Art House & International,Drama,Mystery & Suspense",Philippe Claudel,2008,Sony Pictures Classics,88,85
1249,Momma's Man,"Art House & International,Comedy,Drama",Azazel Jacobs,2008,Kino International,91,50
1250,Ghost Town,"Comedy,Documentary,Science Fiction & Fantasy,Special Interest",David Koepp,2008,DreamWorks/Paramount Distribution,85,60
1251,Wendy and Lucy,Drama,Kelly Reichardt,2008,Oscilloscope Pictures,85,67
1252,Le fils de l'épicier (The Grocer's Son),"Art House & International,Drama",Eric Guirado,2008,Les Films du Losange,90,75
1253,Rachel Getting Married,"Drama,Romance",Jonathan Demme,2008,Sony Pictures Classics,84,62
1254,24 City (Er shi si cheng ji),"Art House & International,Documentary,Drama",Zhangke Jia,2008,FilmsWeLike,90,71
1255,Tropic Thunder,Comedy,Ben Stiller,2008,DreamWorks/Paramount Studios,81,70
1256,In Bruges,"Comedy,Drama",Martin McDonagh,2008,Focus Features,83,87
1257,Gonzo: The Life and Work of Hunter S. Thompson,"Documentary,Special Interest",Alex Gibney,2008,Magnolia Pictures,87,82
1258,I.O.U.S.A.,"Documentary,Special Interest",Patrick Creadon,2008,Roadside Attractions,88,86
1259,Forgetting Sarah Marshall,"Comedy,Romance",Nicholas Stoller,2008,Universal Pictures,83,76
1260,Un Conte de Noël (A Christmas Tale),"Art House & International,Comedy,Drama",Arnaud Desplechin,2008,IFC Films,85,66
1261,Mongol,"Classics,Drama",Sergey Bodrov,2008,Picturehouse,86,76
1262,Shine a Light,"Documentary,Musical & Performing Arts",Martin Scorsese,2008,Paramount,85,74
1263,Vicky Cristina Barcelona,"Comedy,Drama,Romance",Woody Allen,2008,The Weinstein Co.,81,74
1264,Meduzot (Jellyfish),"Comedy,Drama","Etgar Keret,Shira Geffen",2008,Zeitgeist Films,87,79
1265,Indiana Jones and the Kingdom of the Crystal Skull,Action & Adventure,Steven Spielberg,2008,Paramount Pictures,78,54
1266,Der Baader Meinhof Komplex (The Baader Meinhof Complex),"Action & Adventure,Art House & International,Drama",Uli Edel,2008,Vitagraph Films,85,80
1267,Lorna's Silence,"Art House & International,Drama","Jean-Pierre Dardenne,Luc Dardenne",2008,Sony Pictures Classics,85,69
1268,Flammen & Citronen (Flame & Citron) (The Flame and the Lemon),"Action & Adventure,Art House & International,Drama,Mystery & Suspense",Ole Christian Madsen,2008,IFC Films,86,82
1269,Doubt,Drama,John Patrick Shanley,2008,Miramax,80,78
1270,Two Lovers,"Drama,Romance",James Gray,2008,Magnolia Pictures,82,59
1271,JCVD (Van Dammage),"Action & Adventure,Comedy",Mabrouk El Mechri,2008,Peach Arch Entertainment/Vitagraph Films,84,74
1272,Burn After Reading,"Comedy,Drama","Joel Coen,Ethan Coen",2008,Focus Features,78,64
1273,Beaufort,"Action & Adventure,Drama",Joseph Cedar,2008,Kino International,85,72
1274,Roman Polanski: Wanted and Desired,"Documentary,Musical & Performing Arts,Special Interest",Marina Zenovich,2008,ThinkFilm,85,78
1275,The Black Balloon,Drama,Elissa Down,2008,NeoClassics Films,85,84
1276,In Search of a Midnight Kiss,"Art House & International,Comedy,Drama",Alex Holdridge,2008,IFC First Take,84,79
1277,The Spiderwick Chronicles,"Action & Adventure,Drama,Science Fiction & Fantasy",Mark Waters (VIII),2008,Paramount Pictures,80,63
1278,Cloverfield,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",Matt Reeves,2008,Paramount,77,68
1279,Disgrace,"Art House & International,Drama",Steve Jacobs,2008,Maximum Film Distribution,83,62
1280,Fifty Dead Men Walking,"Action & Adventure,Drama",Kari Skogland,2008,Phase 4 Films,83,68
1281,The Bank Job,"Drama,Mystery & Suspense",Roger Donaldson,2008,Lionsgate,79,74
1282,Dr. Seuss' Horton Hears a Who!,"Action & Adventure,Animation,Kids & Family","Steve Martino,Jimmy Hayward",2008,20th Century Fox,79,73
1283,Miss Pettigrew Lives for a Day,"Comedy,Drama",Bharat Nalluri,2008,Focus Features,78,71
1284,Role Models,Comedy,David Wain,2008,Universal Pictures,77,74
1285,Chicago 10,"Animation,Documentary,Drama",Brett Morgen,2008,Roadside Attractions,80,77
1286,Nothing But the Truth,"Drama,Mystery & Suspense",Rod Lurie,2008,Yari Film Group,81,73
